Accessible,able to be reached or entered.
activating,make (something) active or operative.
Advanced,far on or ahead in development or progress.
aesthetic,concerned with beauty or the appreciation of beauty.
aged,having lived for a specified length of time; of a specified age.
alternating,occur in turn repeatedly.
analytical,pertaining to or proceeding by analysis
Annoying,causing irritation or annoyance.
anxious,"experiencing worry, unease, or nervousness, typically about an imminent event or something with an uncertain outcome."
Appealing,attractive or interesting
appetising,stimulating one's appetite
Approachable,friendly and easy to talk to.
artificial,"made or produced by human beings rather than occurring naturally, typically as a copy of something natural."
at home,in one's own house.
athletic,of or relating to athletes or athletics.
atmospheric,"creating a distinctive mood, typically of romance, mystery, or nostalgia."
Attractive,pleasing or appealing to the senses.
beautiful,pleasing the senses or mind aesthetically.
beneficial,favorable or advantageous; resulting in good.
biological,of or relating to biology or living organisms.
Boring,not interesting; tedious.
breathing,the process of taking air into and expelling it from the lungs.
burdening,load heavily.
Business-like,carrying out tasks efficiently without wasting time or being distracted by personal or other concerns; systematic and practical.
Busy,having a great deal to do.
Calm,"not showing or feeling nervousness, anger, or other emotions."
calming,make (someone) tranquil and quiet; soothe.
cared for,"having needed care and attention; ""well-cared-for children"""
caring,displaying kindness and concern for others.
chemical,of or relating to chemistry or the interactions of substances as studied in chemistry.
childish,"of, like, or appropriate to a child."
Clean,"free from dirt, marks, or stains."
Clear,"easy to perceive, understand, or interpret."
collaboration,produced or conducted by two or more parties working together.
Comfortable ,providing physical ease and relaxation.
common,"occurring, found, or done often; prevalent."
communicative,ready to talk or impart information.
Compatible   ,able to exist or occur together without conflict.
Compelling,"evoking interest, attention, or admiration in a powerfully irresistible way."
Complex,consisting of many different and connected parts.
Comprehensive,complete; including all or nearly all elements or aspects of something.
concrete,existing in a material or physical form; real or solid; not abstract.
Confident,feeling or showing confidence in oneself; self-assured.
confiding,tell someone about a secret or private matter while trusting them not to repeat it to others.
confusing,bewildering or perplexing.
Connected,bring together or into contact so that a real or notional link is established.
Consistent,unchanging in achievement or effect over a period of time.
constructive,serving a useful purpose; tending to build up.
Controllable   ,apable of being controlled
Convenient,"fitting in well with a person's needs, activities, and plans."
convential,based on or in accordance with what is generally done or believed.
corporal,a low-ranking noncommissioned officer in the armed forces
Creative,"relating to or involving the imagination or original ideas, esp. in the production of an artistic work."
current,belonging to the present time; happening or being used or done now.
Customizable,custom-make: make to specifications
Cutting edge,the latest or most advanced stage in the development of something.
Dated,old-fashioned.
delicate,very fine in texture or structure; of intricate workmanship or quality.
demented,suffering from dementia.
depressive,"causing feelings of hopelessness, despondency, and dejection."
Desirable,"wanted or wished for as being an attractive, useful, or necessary course of action."
Difficult,"needing much effort or skill to accomplish, deal with, or understand."
dim,"(of a light, color, or illuminated object) not shining brightly or clearly."
Disconnected,having a connection broken.
Disruptive,causing or tending to cause disruption.
Distracting,preventing concentration or diverting attention; disturbing.
dominant,"most important, powerful, or influential."
dreamlike,having the qualities of a dream; unreal.
Dull ,lacking interest or excitement.
dynamic,"characterized by constant change, activity, or progress."
Easy to use,not hard or difficult; requiring no great labor or effort:
Effective,successful in producing a desired or intended result.
Efficient,achieving maximum productivity with minimum wasted effort or expense.
Effortless,requiring no physical or mental exertion.
elementary,of or relating to the most rudimentary aspects of a subject.
empower,give (someone) the authority or power to do something.
Energetic,showing or involving great activity or vitality.
Engaging     ,charming and attractive.
Entertaining,providing amusement or enjoyment.
Enthusiastic,"having or showing intense and eager enjoyment, interest, or approval."
ergonomic,intended to provide optimum comfort and to avoid stress or injury.
Essential ,absolutely necessary; extremely important.
euphoric,characterized by or feeling intense excitement and happiness.
eventful,marked by interesting or exciting events.
Exceptional,unusual; not typical.
Exciting,causing great enthusiasm and eagerness.
Expected,regard (something) as likely to happen.
