appetising,red,medium
aesthetic,green,medium
convential,brown,medium
appealing,red,medium
plain,gray,medium
beautiful,magenta,medium
traditional,brown,medium
dreamlike,red,light
delicate,pink,light
breathing,blue,light
comfortable,yellow,dark
biological,green,medium
energetic,red,medium
relaxing,blue,light
corporal,red,medium
weary,brown,dark
organic,red,medium
stressful,brown,dark
empered,orange,medium
warm,orange,medium
beneficial,green,light
demented,brown,dark
depressive,black,dark
recreative,blue,medium
caring,orange,medium
cared for,purple,medium
healthy,green,medium
healing,blue/green,medium
hopeful,green,medium
humane,orange,light
unstable,orange,medium
soothing,green,light
pain-free,green,medium
anxious,black,dark
constructive,orange,medium
burdening,black,dark
protected,blue,medium
dominant,red,medium
euphoric,yellow,medium
hypnotic,purple,dark
isolated,black,dark
spiritual,purple,medium
suggestive,green,medium
subconscious,blue,medium
confusing,black,dark
alternating,orange,medium
current,yellow,medium
ordinary,gray,medium
stimulant,red,medium
exciting,red,medium
moving,orange,medium
eventful,green,medium
common,blue,medium
laughing,yellow,medium
playful,yellow,medium
atmospheric,orange,medium
stimulating,red,medium
analytical,blue,medium
chemical,yellow,medium
elementary,green,medium
fresh,yellow/green,medium
intelligent,blue,light
concrete,gray,dark
logical,blue,medium
objective,blue,medium
oriented,red,medium
practical,blue,medium
rational,blue,medium
theoretical,gray,medium
activating,red,medium
calming,blue,light
dynamic,orange,medium
ergonomic,blue/green,medium
heartfelt,red,medium
fit,green,medium
flowing,blue,medium
lively,red,medium
mobile,orange,medium
passive,brown,dark
hovering,blue,light
athletic,blue,medium
friendly,orange,medium
popular,orange,medium
peaceful,blue,medium
at home,orange,medium
premuim,yellow,dark
intensive,red,medium
loving,red,medium
sustainable,blue/green,medium
natual,green,medium
gentle,red,light
aged,brown,dark
familial,blue,medium
feminine,red,light
secure,purple,medium
individual,blue,medium
intimate,magenta,light
youthful,orange,medium
childish,orange,medium
communicative,orange,medium
masculine,blue,dark
social,red,medium
confiding,green,medium
dim,gray,light
faulty,gray,dark
oppressive,black,dark
frail,brown,dark
toxic,yellow/green,medium
helpless,gray,dark
unstable,gray,medium
sick,black,dark
artificial,red,medium
suffering,gray,medium
lethargic,gray,medium
annoying,black,dark
