industry,shade,color,country,attribute
pharma,NA,blue,brazil,calming
pharma,NA,brown,china,calming
pharma,dark,green,korea,calming
pharma,dark,green,UK,calming
pharma,dark,green,USA,calming
pharma,dark,red,spain,calming
pharma,NA,blue,france,calming
pharma,NA,green,germany,calming
pharma,NA,gray,india,calming
pharma,NA,blue/green,italy,calming
pharma,NA,black,japan,calming
pharma,dark,red,india,cautious
pharma,NA,black,brazil,cautious
pharma,NA,black,china,cautious
pharma,NA,orange,france,cautious
pharma,NA,red,germany,cautious
pharma,NA,brown,italy,cautious
pharma,NA,green,japan,cautious
pharma,NA,white,korea,cautious
pharma,NA,gary,spain,cautious
pharma,NA,red,UK,cautious
pharma,NA,black,USA,cautious
pharma,NA,white,brazil,common
pharma,NA,white,china,common
pharma,NA,white,france,common
pharma,NA,white,germany,common
pharma,NA,blue,indai,common
pharma,NA,white,italy,common
pharma,NA,blue,japan,common
pharma,NA,orange,korea,common
pharma,NA,white,spain,common
pharma,NA,white,UK,common
pharma,NA,white,USA,common
pharma,NA,blue,brazil,confidence
pharma,dark,blue,USA,confidence
pharma,NA,red,china,confidence
pharma,dark,red,india,confidence
pharma,dark,red,UK,confidence
pharma,NA,white,france,confidence
pharma,NA,green,germany,confidence
pharma,NA,green,italy,confidence
pharma,NA,brown,japan,confidence
pharma,NA,white,korea,confidence
pharma,NA,white,spain,confidence
pharma,NA,red,brazil,dependable
pharma,NA,white,china,dependable
pharma,NA,white,france,dependable
pharma,NA,white,germany,dependable
pharma,NA,white,india,dependable
pharma,NA,white,italy,dependable
pharma,NA,white,japan,dependable
pharma,NA,yellow,korea,dependable
pharma,NA,white,spain,dependable
pharma,NA,white,UK,dependable
pharma,NA,blue,USA,dependable
pharma,light,purple,china,discomfort
pharma,NA,red,brazil,discomfort
pharma,NA,brown,france,discomfort
pharma,NA,black,germany,discomfort
pharma,NA,black,india,discomfort
pharma,NA,black,italy,discomfort
pharma,NA,red,japan,discomfort
pharma,NA,red,korea,discomfort
pharma,NA,black,spain,discomfort
pharma,NA,black,UK,discomfort
pharma,NA,black,USA,discomfort
pharma,dark,red,korea,disgust
pharma,NA,black,brazil,disgust
pharma,NA,gray,china,disgust
pharma,NA,brown,france,disgust
pharma,NA,black,germany,disgust
pharma,NA,black,india,disgust
pharma,NA,black,italy,disgust
pharma,NA,brown,japan,disgust
pharma,NA,blac,spain,disgust
pharma,NA,brown,UK,disgust
pharma,NA,black,USA,disgust
pharma,light,green,brazil,energizing
pharma,dark,red,china,energizing
pharma,dark,red,france,energizing
pharma,dark,red,germany,energizing
pharma,dark,red,india,energizing
pharma,dark,red,USA,energizing
pharma,NA,red,italy,energizing
pharma,NA,orange,japan,energizing
pharma,NA,red,korea,energizing
pharma,NA,red,spain,energizing
pharma,NA,gray,UK,energizing
pharma,dark,blue,brazil,exciting
pharma,dark,blue/green,france,exciting
pharma,dark,red,india,exciting
pharma,dark,red,spain,exciting
pharma,dark,red,UK,exciting
pharma,NA,red,china,exciting
pharma,NA,red,germany,exciting
pharma,NA,red,italy,exciting
pharma,NA,red,japan,exciting
pharma,NA,red,korea,exciting
pharma,NA,purple,USA,exciting
pharma,light,green,korea,expensive
pharma,dark,red,brazil,expensive
pharma,dark,red,india,expensive
pharma,NA,red,china,expensive
pharma,NA,pink,france,expensive
pharma,NA,red,germany,expensive
pharma,NA,red,italy,expensive
pharma,NA,white,japan,expensive
pharma,NA,red,spain,expensive
pharma,NA,red,UK,expensive
pharma,NA,brown,USA,expensive
pharma,NA,black,brazil,failure
pharma,NA,black,china,failure
pharma,NA,gray,france,failure
pharma,NA,black,germany,failure
pharma,NA,black,india,failure
pharma,NA,black,italy,failure
pharma,NA,red,japan,failure
pharma,NA,black,korea,failure
pharma,NA,black,spain,failure
pharma,NA,black,UK,failure
pharma,NA,black,USA,failure
pharma,NA,pink,china,fast acting
pharma,NA,red,brazil,fast acting
pharma,light,yellow,USA,fast acting
