Aerospace & Defense,Aerospace & Defense,,
Airlines,Airlines,,
Auto,Automobiles,,
Auto,Auto Components,,
Banks,Capital Markets,Commercial Banks,Consumer Finance
Food,Beverages,,
Biotechnology,Biotechnology,,
Building Materials,Building Products,,
Chemicals,Chemicals,,
Commercial Services,Commercial Services & Supplies,,
Electronics,Computers & Peripherals,,
Distribution & Wholesale,Distributors,,
Finance,Diversified Financial Services,,
Energy,Electric Utilities,Multi-Utilities,
Electronics,Electrical Equipment,,
Electronics,Electronic Equipment# Instruments & Components,,
Engineering & Construction,Construction Materials,Energy Equipment & Services,
Food,Food & Staples Retailing,,
Food,Food Products,,
Forest Products & Paper,Paper & Forest Products,,
Gas,Gas Utilities,,
Healthcare,Health Care Equipment & Supplies,Health Care Technology,
Healthcare,Health Care Providers & Services,Life Sciences Tools & Services,
Home Builders,Construction & Engineering,,
Home Furnishings,Household Durables,,
Housewares,Household Products,,
Housewares,Personal Products,,
Insurance,Insurance,,
Software,Internet Software & Services,,
Leisure Time,Leisure Equipment & Products,,
Lodging,Hotels# Restaurants & Leisure,,
Machinery,Machinery,,
Machinery,Industrial Conglomerates,,
Media,Media,,
Mining,Metals & Mining,,
Office Equipment,Office Electronics,,
Oil & Gas,Oil# Gas & Consumable Fuels,,
Packaging & Containers,Containers & Packaging,,
Pharmaceuticals,Pharmaceuticals,,
Real Estate,Real Estate Management & Development,,
Retail,Internet & Catalog Retail,Diversified Consumer Services,Multiline Retail
Finance,Thrifts & Mortgage Finance,,
Semiconductors,Semiconductors & Semiconductor Equipment,,
Shipbuilding,Marine,,
Software,Software,IT Services,
Telecommunications,Wireless Telecommunication Services,Communications Equipment,Diversified Telecommunication Services
Textiles,Textiles# Apparel & Luxury Goods,,
Transporation,Transportation Infrastructure,Air Freight & Logistics,
Trucking & Leasing,Road & Rail,,
Water,Water Utilities,,
